,company_permalink,unique_investors,median_investor_value
705,/organization/adgent007,2,8.0
706,/organization/adgrok,6,8.5
707,/organization/adhack,1,2.0
708,/organization/adheretech,1,5.0
709,/organization/adhoclabs,2,9.0
710,/organization/adhysteria,1,0.0
711,/organization/adiana,9,9.0
712,/organization/adictiz,1,9.0
713,/organization/adify,6,9.0
714,/organization/adikteev,7,6.0
715,/organization/adiktivo,1,8.0
716,/organization/adility,7,8.0
717,/organization/adimab,5,9.0
718,/organization/adinch,1,8.0
719,/organization/adincon,1,4.0
720,/organization/adinnovation,3,8.0
721,/organization/adinsight,2,9.0
722,/organization/adioso,8,4.0
723,/organization/aditazz,1,9.0
724,/organization/aditu-sas,1,9.0
725,/organization/adizio,6,7.0
726,/organization/adjudica,2,5.5
727,/organization/adjug,2,7.5
728,/organization/adjust-2,4,9.0
729,/organization/adknowledge,4,9.0
730,/organization/adku,5,9.0
732,/organization/adlemons,1,0.0
733,/organization/adlyfe,3,9.0
734,/organization/adma-biologics,1,9.0
735,/organization/adman-media,1,8.0
736,/organization/admantx,2,6.0
737,/organization/admaster,2,9.0
738,/organization/admatic,1,5.0
739,/organization/admazely,3,2.0
740,/organization/admeld,4,9.0
741,/organization/admetric,1,0.0
742,/organization/admetricks,1,8.0
743,/organization/admingle-share-your-passion,2,2.0
744,/organization/admithub,3,5.0
746,/organization/admitone-security,4,9.0
747,/organization/admitsee,1,5.0
748,/organization/admittance-technologies,1,8.0
749,/organization/admitted-ly,5,9.0
750,/organization/admittor,1,5.0
751,/organization/admob,7,9.0
752,/organization/admobilize,2,4.5
753,/organization/admobius,2,9.0
754,/organization/admoment,3,9.0
755,/organization/adnavance-technologies,5,9.0
756,/organization/adnear,5,9.0
757,/organization/adnectar,4,7.5
758,/organization/adnexus,5,9.0
759,/organization/adocia,5,9.0
760,/organization/adometry,4,9.0
761,/organization/adomik,2,9.0
762,/organization/adomo,2,9.0
764,/organization/adonit,1,8.0
765,/organization/adop,1,9.0
766,/organization/ador,5,9.0
767,/organization/adore-me,9,8.0
768,/organization/adormo,1,6.0
769,/organization/adorstyle,4,9.0
770,/organization/adp,2,6.5
771,/organization/adpoints,1,9.0
772,/organization/adpushup,14,2.0
774,/organization/adquantic,3,0.0
775,/organization/adquota,1,9.0
776,/organization/adr-software,1,7.0
777,/organization/adready,5,9.0
778,/organization/adreima,3,9.0
779,/organization/adrenaline-mobility,2,7.0
780,/organization/adrise,1,9.0
781,/organization/adrocket,6,8.5
782,/organization/adroll-semantic-sugar-inc,14,9.0
783,/organization/ads-fi,1,0.0
784,/organization/adsage,2,8.0
785,/organization/adsame,7,9.0
786,/organization/adscale,5,8.5
787,/organization/adsclick,1,9.0
788,/organization/adscoot,1,1.0
789,/organization/adscore,1,0.0
790,/organization/adsit,3,9.0
791,/organization/adskom,5,4.0
793,/organization/adsnative,7,8.0
794,/organization/adspert,2,9.0
795,/organization/adsquare,3,6.0
796,/organization/adstack,1,9.0
797,/organization/adstage,19,9.0
798,/organization/adstrix,1,5.0
799,/organization/adstruc,10,9.0
800,/organization/adtapsy,1,6.0
801,/organization/adtheorent,3,5.0
802,/organization/adtrib,1,9.0
803,/organization/adura-technologies,3,9.0
804,/organization/aduro-biotech,2,9.0
806,/organization/advaliant,1,0.0
807,/organization/advalight,1,9.0
808,/organization/advance-medical,3,9.0
809,/organization/advanced-accelerator-applications,2,8.5
810,/organization/advanced-animal-diagnostics,2,9.0
811,/organization/advanced-battery-concepts,4,5.5
812,/organization/advanced-biohealing,5,9.0
813,/organization/advanced-cardiac-therapeutics,2,9.0
814,/organization/advanced-catheter-therapies,5,7.0
815,/organization/advanced-cell-diagnostics,3,9.0
816,/organization/advanced-chip-express,1,9.0
817,/organization/advanced-commerce-technologies,2,3.0
818,/organization/advanced-cooling-therapy,3,3.0
819,/organization/advanced-cyclone-systems,1,9.0
820,/organization/advanced-diamond-technologies,1,7.0
822,/organization/advanced-electron-beams,6,9.0
823,/organization/advanced-field-solutions,1,2.0
824,/organization/advanced-icu-care,4,9.0
826,/organization/advanced-in-vitro-cell-technologies,1,7.0
